"fid","CAT_LU","PA","PA_norm","FR.analysis.5_NP","FR.analysis.5_FR","Fragmentation","proximity.analysis.5_PI","Proximity","LC_EVAPO_Evapotranspirating","LC_analysis_ET_score","ET_score_2","SuitKey2","compat_key","unique_compat_Compatibility","Suitability.matrix_2_PLU"
1786,"Farmlands",1.23153463402156,0.0415526946643331,3,1.026,2,0.024653,"Low",94.51,54.8428,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
1787,"Farmlands",0.617632716224796,0.0208392869863393,3,1.047,2,0.022353,"Low",99.99,64.3594,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
1799,"Collective spaces",2.22075195277306,0.0749294622088432,34,1.698,3,0.489902,"High",76.69,49.6192,"B","Collective spaces_B_3_High","Collective spaces_Allotment gardens_B","true","Allotment gardens"
1843,"Farmlands",0.0816675190802664,0.0027555095817764,12,1.27,2,0.107635,"High",99.76,63.8464,"C","Farmlands_C_2_High","Farmlands_Wild spaces_C","false","Wild spaces"
1854,"Farmlands",1.52326128738938,0.0513957215821034,5,1.063,2,0.064486,"Low",37.9,24.256,"A","Farmlands_A_2_Low","Farmlands_Informal Recreational areas_A","false","Informal Recreational areas"
1859,"Farmlands",3.73952959980681,0.126173903158202,9,1.079,2,0.097352,"High",99.28,58.0738,"C","Farmlands_C_2_High","Farmlands_Wild spaces_C","false","Wild spaces"
1871,"Farmlands",0.326751762335451,0.0110247944607297,4,1.08,2,0.068325,"High",3.29,1.2173,"A","Farmlands_A_2_High","Farmlands_Informal Recreational areas_A","false","Informal Recreational areas"
1889,"Farmlands",0.296249570725241,0.00999563277939462,2,1.035,2,0.047865,"Low",99.82,63.8848,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
1890,"Farmlands",1.59495146976681,0.0538145900219067,4,1.037,2,0.045552,"Low",98.94,57.3135,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
1913,"Farmlands",9.69583129250237,0.327142985738542,5,0.787,2,0.039539,"Low",0.25,0.145,"A","Farmlands_A_2_Low","Farmlands_Informal Recreational areas_A","false","Informal Recreational areas"
1929,"Farmlands",0.771876197949887,0.0260435517492043,11,1.224,2,0.034477,"Low",78.84,51.0468,"B","Farmlands_B_2_Low","Farmlands_Community Supported Agriculture_B","true","Community Supported Agriculture"
1930,"Farmlands",3.10824334281332,0.104873937767069,13,1.19,2,0.03371,"Low",97.93,57.1908,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
1933,"Farmlands",0.0960649870742112,0.00324128852372812,14,1.315,2,0.038089,"Low",100,58.0006,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
1940,"Collective spaces",0.698882086030378,0.0235806879684425,40,1.885,3,0.396049,"High",77.75,51.348,"B","Collective spaces_B_3_High","Collective spaces_Allotment gardens_B","true","Allotment gardens"
1947,"Woods and shrubs",0.905957036476619,0.0305675172063881,30,1.651,3,0.086332,"High",95.28,66.5396,"C","Woods and shrubs_C_3_High","Woods and shrubs_Urban Gardens_C","true","Urban Gardens"
